,date,dayConfirmed
153,2020-03-01,586
310,2020-03-02,599
483,2020-03-03,851
666,2020-03-04,435
858,2020-03-05,467
1063,2020-03-06,505
1294,2020-03-07,448
1552,2020-03-08,273
1839,2020-03-09,164
2138,2020-03-10,35
2376,2020-03-11,242
2624,2020-03-12,114
2984,2020-03-13,110
3136,2020-03-14,107
3417,2020-03-15,76
3708,2020-03-16,74
4013,2020-03-17,84
4322,2020-03-18,93
4638,2020-03-19,152
4962,2020-03-20,87
5294,2020-03-21,147
8862,2020-03-22,98
12409,2020-03-23,64
15858,2020-03-24,76
19311,2020-03-25,100
22765,2020-03-26,104
26229,2020-03-27,91
29693,2020-03-28,146
33162,2020-03-29,105
36636,2020-03-30,78
39104,2020-03-31,125
41622,2020-04-01,101
44224,2020-04-02,89
46883,2020-04-03,86
49596,2020-04-04,94
52392,2020-04-05,81
55233,2020-04-06,47
58124,2020-04-07,47
61040,2020-04-08,53
63984,2020-04-09,39
66957,2020-04-10,27
69956,2020-04-11,30
72978,2020-04-12,32
76014,2020-04-13,25
79061,2020-04-14,27
82121,2020-04-15,27
85196,2020-04-16,22
88275,2020-04-17,22
91362,2020-04-18,18
94468,2020-04-19,8
97583,2020-04-20,13
100708,2020-04-21,9
103841,2020-04-22,11
106987,2020-04-23,14
110147,2020-04-24,10
113313,2020-04-25,10
116487,2020-04-26,10
119673,2020-04-27,14
122878,2020-04-28,9
126080,2020-04-29,4
129290,2020-04-30,9
132512,2020-05-01,6
135738,2020-05-02,13
138970,2020-05-03,8
142205,2020-05-04,3
145448,2020-05-05,2
148698,2020-05-06,4
151957,2020-05-07,12
155223,2020-05-08,18
158491,2020-05-09,34
161761,2020-05-10,35
165031,2020-05-11,27
168304,2020-05-12,26
171578,2020-05-13,29
174909,2020-05-14,27
178245,2020-05-15,19
181585,2020-05-16,13
184928,2020-05-17,15
188272,2020-05-18,13
191622,2020-05-19,32
195053,2020-05-20,12
198485,2020-05-21,20
201924,2020-05-22,23
205365,2020-05-23,25
208810,2020-05-24,16
212256,2020-05-25,19
215703,2020-05-26,40
219154,2020-05-27,79
222710,2020-05-28,58
226269,2020-05-29,39
229831,2020-05-30,27
233394,2020-05-31,35
237070,2020-06-01,38
240748,2020-06-02,49
244429,2020-06-03,39
248111,2020-06-04,39
251818,2020-06-05,51
255526,2020-06-06,57
259234,2020-06-07,38
262943,2020-06-08,38
266654,2020-06-09,50
270409,2020-06-10,45
274170,2020-06-11,56
277941,2020-06-12,48
281715,2020-06-13,34
285489,2020-06-14,36
289268,2020-06-15,34
293045,2020-06-16,43
296825,2020-06-17,59
300606,2020-06-18,49
304388,2020-06-19,67
308174,2020-06-20,48
311960,2020-06-21,17
315749,2020-06-22,46
319543,2020-06-23,51
323350,2020-06-24,28
327164,2020-06-25,39
330979,2020-06-26,51
334795,2020-06-27,62
338611,2020-06-28,42
342429,2020-06-29,43
346249,2020-06-30,50
350071,2020-07-01,54
353896,2020-07-02,63
357725,2020-07-03,63
361556,2020-07-04,61
365388,2020-07-05,46
369222,2020-07-06,44
373058,2020-07-07,63
376897,2020-07-08,49
380736,2020-07-09,45
384579,2020-07-10,35
388423,2020-07-11,44
392269,2020-07-12,62
396115,2020-07-13,33
399970,2020-07-14,39
403825,2020-07-15,61
407682,2020-07-16,60
411551,2020-07-17,39
415501,2020-07-18,34
419452,2020-07-19,26
423318,2020-07-20,45
427363,2020-07-21,63
431321,2020-07-22,59
435250,2020-07-23,41
439243,2020-07-24,113
443205,2020-07-25,58
447170,2020-07-26,25
451134,2020-07-27,28
455100,2020-07-28,48
459068,2020-07-29,18
463036,2020-07-30,36
467007,2020-07-31,31
470975,2020-08-01,30
474943,2020-08-02,23
478911,2020-08-03,34
482879,2020-08-04,33
486851,2020-08-05,43
490824,2020-08-06,20
494797,2020-08-07,43
498770,2020-08-08,36
502743,2020-08-09,28
506716,2020-08-10,34
507189,2020-08-11,54
511164,2020-08-12,56
515139,2020-08-13,103
519116,2020-08-14,166
523093,2020-08-15,279
527070,2020-08-16,197
531047,2020-08-17,246
535026,2020-08-18,297
539005,2020-08-19,288
542986,2020-08-20,324
546967,2020-08-21,332
550948,2020-08-22,397
554930,2020-08-23,266
558912,2020-08-24,280
562894,2020-08-25,320
566876,2020-08-26,441
570858,2020-08-27,371
574840,2020-08-28,323
578822,2020-08-29,299
582804,2020-08-30,248
586786,2020-08-31,235
590772,2020-09-01,267
594758,2020-09-02,195
598744,2020-09-03,198
602730,2020-09-04,168
606716,2020-09-05,167
610702,2020-09-06,119
614688,2020-09-07,136
618674,2020-09-08,156
622660,2020-09-09,155
626646,2020-09-10,176
630632,2020-09-11,136
634618,2020-09-12,121
638604,2020-09-13,109
642590,2020-09-14,106
646576,2020-09-15,113
650562,2020-09-16,153
654548,2020-09-17,126
658534,2020-09-18,110
662520,2020-09-19,82
666506,2020-09-20,70
670493,2020-09-21,61
674481,2020-09-22,110
678469,2020-09-23,125
682457,2020-09-24,114
686445,2020-09-25,61
690433,2020-09-26,95
694421,2020-09-27,50
698409,2020-09-28,38
702397,2020-09-29,113
706385,2020-09-30,77
710373,2020-10-01,63
714361,2020-10-02,75
718349,2020-10-03,64
722337,2020-10-04,73
726325,2020-10-05,75
730313,2020-10-06,114
734301,2020-10-07,69
738289,2020-10-08,54
742277,2020-10-09,72
746265,2020-10-10,58
750253,2020-10-11,97
754241,2020-10-12,102
758230,2020-10-13,84
762219,2020-10-14,99
766208,2020-10-15,47
770197,2020-10-16,73
774187,2020-10-17,91
778177,2020-10-18,76
782167,2020-10-19,58
786158,2020-10-20,91
790149,2020-10-21,119
794140,2020-10-22,155
798131,2020-10-23,77
802122,2020-10-24,61
806113,2020-10-25,119
810104,2020-10-26,88
814095,2020-10-27,103
818086,2020-10-28,125
822078,2020-10-29,114
826070,2020-10-30,126
830062,2020-10-31,124
834054,2020-11-01,97
838046,2020-11-02,75
842038,2020-11-03,118
846030,2020-11-04,125
850023,2020-11-05,145
854016,2020-11-06,89
858009,2020-11-07,143
862002,2020-11-08,126
865995,2020-11-09,100
869988,2020-11-10,146
873982,2020-11-11,143
877987,2020-11-12,191
881993,2020-11-13,205
885999,2020-11-14,208
890005,2020-11-15,223
894011,2020-11-16,229
898017,2020-11-17,313
902023,2020-11-18,343
906029,2020-11-19,363
910035,2020-11-20,386
914041,2020-11-21,330
918047,2020-11-22,271
922053,2020-11-23,349
926060,2020-11-24,382
930067,2020-11-25,583
934074,2020-11-26,569
938081,2020-11-27,488
942088,2020-11-28,449
946095,2020-11-29,377
950102,2020-11-30,451
954109,2020-12-01,511
958116,2020-12-02,540
962123,2020-12-03,629
966130,2020-12-04,583
970137,2020-12-05,631
974144,2020-12-06,615
978151,2020-12-07,594
982158,2020-12-08,677
986165,2020-12-09,666
990172,2020-12-10,688
994179,2020-12-11,950
998186,2020-12-12,1030
1002193,2020-12-13,718
1006200,2020-12-14,880
1010207,2020-12-15,1078
1014214,2020-12-16,1011
1018221,2020-12-17,1062
1022228,2020-12-18,1055
1026235,2020-12-19,1095
1030242,2020-12-20,926
1034249,2020-12-21,869
1038256,2020-12-22,1090
1042263,2020-12-23,983
1046270,2020-12-24,1237
1050277,2020-12-25,1132
1054284,2020-12-26,970
1058291,2020-12-27,808
1062298,2020-12-28,1045
1066305,2020-12-29,1048
1070312,2020-12-30,967
1074319,2020-12-31,1029
364,2021-01-01,824
4371,2021-01-02,651
8379,2021-01-03,1020
12387,2021-01-04,715
16395,2021-01-05,839
20403,2021-01-06,868
24411,2021-01-07,672
28419,2021-01-08,641
32427,2021-01-09,665
36435,2021-01-10,450
40443,2021-01-11,537
44451,2021-01-12,561
48459,2021-01-13,516
52467,2021-01-14,513
56475,2021-01-15,579
60484,2021-01-16,520
64493,2021-01-17,389
68502,2021-01-18,386
72511,2021-01-19,403
76520,2021-01-20,400
80529,2021-01-21,344
84539,2021-01-22,430
88549,2021-01-23,392
92559,2021-01-24,437
96569,2021-01-25,354
100579,2021-01-26,554
104589,2021-01-27,497
108599,2021-01-28,469
112609,2021-01-29,455
116619,2021-01-30,355
120629,2021-01-31,303
124639,2021-02-01,336
128649,2021-02-02,467
132659,2021-02-03,451
136669,2021-02-04,369
140679,2021-02-05,393
144689,2021-02-06,372
148699,2021-02-07,289
152709,2021-02-08,302
156719,2021-02-09,443
160729,2021-02-10,504
164739,2021-02-11,403
168749,2021-02-12,362
172759,2021-02-13,326
176769,2021-02-14,344
180779,2021-02-15,456
184789,2021-02-16,621
188799,2021-02-17,621
192809,2021-02-18,561
196820,2021-02-19,446
200830,2021-02-20,418
204840,2021-02-21,332
208850,2021-02-22,357
212860,2021-02-23,439
216870,2021-02-24,396
220880,2021-02-25,406
224890,2021-02-26,399
228900,2021-02-27,355
232910,2021-02-28,355
236920,2021-03-01,341
240930,2021-03-02,444
244940,2021-03-03,424
248950,2021-03-04,398
252960,2021-03-05,417
256970,2021-03-06,416
260980,2021-03-07,346
264990,2021-03-08,446
269000,2021-03-09,470
273010,2021-03-10,465
277020,2021-03-11,488
281030,2021-03-12,490
285040,2021-03-13,459
289050,2021-03-14,382
293060,2021-03-15,363
297070,2021-03-16,469
301080,2021-03-17,445
305090,2021-03-18,463
309100,2021-03-19,452
313110,2021-03-20,456
317120,2021-03-21,410
321130,2021-03-22,346
325140,2021-03-23,425
329150,2021-03-24,430
333160,2021-03-25,494
337170,2021-03-26,505
341180,2021-03-27,482
345190,2021-03-28,384
349200,2021-03-29,441
353210,2021-03-30,506
357220,2021-03-31,551
361230,2021-04-01,555
365240,2021-04-02,542
369250,2021-04-03,543
373260,2021-04-04,473
377270,2021-04-05,478
381280,2021-04-06,668
385290,2021-04-07,700
389300,2021-04-08,671
393310,2021-04-09,676
397320,2021-04-10,614
401330,2021-04-11,587
405340,2021-04-12,542
409350,2021-04-13,731
413360,2021-04-14,698
417370,2021-04-15,672
421380,2021-04-16,655
425390,2021-04-17,671
429400,2021-04-18,531
433410,2021-04-19,549
437420,2021-04-20,731
441430,2021-04-21,735
445440,2021-04-22,797
449450,2021-04-23,785
453460,2021-04-24,644
457470,2021-04-25,500
461480,2021-04-26,511
465490,2021-04-27,775
469500,2021-04-28,678
473510,2021-04-29,656
477520,2021-04-30,627
481530,2021-05-01,606
485540,2021-05-02,488
489550,2021-05-03,541
493560,2021-05-04,676
497570,2021-05-05,574
501580,2021-05-06,525
505590,2021-05-07,701
509600,2021-05-08,564
513610,2021-05-09,463
517620,2021-05-10,511
521630,2021-05-11,635
525640,2021-05-12,715
529650,2021-05-13,747
533660,2021-05-14,681
537670,2021-05-15,610
541680,2021-05-16,619
545690,2021-05-17,528
549700,2021-05-18,653
553710,2021-05-19,646
557720,2021-05-20,561
561730,2021-05-21,666
565740,2021-05-22,585
569750,2021-05-23,538
573760,2021-05-24,516
577770,2021-05-25,699
581780,2021-05-26,629
585791,2021-05-27,587
589801,2021-05-28,533
593811,2021-05-29,479
597821,2021-05-30,430
601831,2021-05-31,459
605841,2021-06-01,677
609851,2021-06-02,681
613861,2021-06-03,695
617871,2021-06-04,744
621881,2021-06-05,556
625891,2021-06-06,485
629901,2021-06-07,454
633911,2021-06-08,601
637921,2021-06-09,611
641931,2021-06-10,556
645941,2021-06-11,563
649951,2021-06-12,452
653961,2021-06-13,399
657971,2021-06-14,374
661981,2021-06-15,544
665991,2021-06-16,540
670001,2021-06-17,507
674011,2021-06-18,482
678021,2021-06-19,429
682031,2021-06-20,357
686041,2021-06-21,395
690051,2021-06-22,644
694061,2021-06-23,610
698071,2021-06-24,634
702081,2021-06-25,668
706091,2021-06-26,614
710101,2021-06-27,501
714111,2021-06-28,595
718121,2021-06-29,794
722131,2021-06-30,762
726141,2021-07-01,826
730151,2021-07-02,793
734161,2021-07-03,742
738171,2021-07-04,711
742181,2021-07-05,746
746191,2021-07-06,1212
750201,2021-07-07,1275
754211,2021-07-08,1316
758221,2021-07-09,1378
762231,2021-07-10,1324
766241,2021-07-11,1100
770251,2021-07-12,1150
774261,2021-07-13,1615
778271,2021-07-14,1600
782281,2021-07-15,1535
786291,2021-07-16,1454
790301,2021-07-17,1451
794311,2021-07-18,1252
798321,2021-07-19,1278
802331,2021-07-20,1784
806341,2021-07-21,1838
810351,2021-07-22,1630
814361,2021-07-23,1629
818371,2021-07-24,1486
822381,2021-07-25,1318
826391,2021-07-26,1365
830401,2021-07-27,1896
834411,2021-07-28,1672
838421,2021-07-29,1707
842431,2021-07-30,1539
846441,2021-07-31,1442
850451,2021-08-01,1215
854461,2021-08-02,1201
858471,2021-08-03,1723
862481,2021-08-04,1776
866491,2021-08-05,1704
870501,2021-08-06,1822
874511,2021-08-07,1728
878521,2021-08-08,1492
882531,2021-08-09,1539
886541,2021-08-10,2219
890551,2021-08-11,1986
894561,2021-08-12,1990
898571,2021-08-13,1929
902581,2021-08-14,1817
906591,2021-08-15,1553
910601,2021-08-16,1373
914611,2021-08-17,1803
918621,2021-08-18,2151
922631,2021-08-19,2051
926641,2021-08-20,1880
930651,2021-08-21,1627
934661,2021-08-22,1416
938671,2021-08-23,1505
942681,2021-08-24,2152
946691,2021-08-25,1878
950701,2021-08-26,1841
954711,2021-08-27,1793
958721,2021-08-28,1617
962731,2021-08-29,1483
966741,2021-08-30,1370
970751,2021-08-31,2024
974761,2021-09-01,1956
978771,2021-09-02,1709
982781,2021-09-03,1803
986791,2021-09-04,1491
990801,2021-09-05,1374
994811,2021-09-06,1596
998821,2021-09-07,2049
1002831,2021-09-08,2047
1006841,2021-09-09,1892
1010851,2021-09-10,1865
1014861,2021-09-11,1755
1018871,2021-09-12,1433
1022881,2021-09-13,1495
1026891,2021-09-14,2079
1030901,2021-09-15,1941
1034911,2021-09-16,2008
1038922,2021-09-17,2084
1042933,2021-09-18,1909
1046944,2021-09-19,1605
1050955,2021-09-20,1727
1054966,2021-09-21,1720
1058977,2021-09-22,1716
1062988,2021-09-23,2433
1066999,2021-09-24,3270
1071010,2021-09-25,2770
1075021,2021-09-26,2381
1079032,2021-09-27,2289
1083043,2021-09-28,2883
1087054,2021-09-29,2564
1091065,2021-09-30,2484
1095076,2021-10-01,2247
1099087,2021-10-02,2085
1103098,2021-10-03,1672
1107109,2021-10-04,1575
1111120,2021-10-05,2027
1115131,2021-10-06,2425
1119143,2021-10-07,2172
1123155,2021-10-08,1949
1127167,2021-10-09,1594
1131179,2021-10-10,1297
1135191,2021-10-11,1347
1139203,2021-10-12,1579
1143215,2021-10-13,1937
1147227,2021-10-14,1682
1151239,2021-10-15,1617
1155251,2021-10-16,1418
1159263,2021-10-17,1049
1163275,2021-10-18,1073
1167287,2021-10-19,1570
1171299,2021-10-20,1441
1175311,2021-10-21,1440
1179323,2021-10-22,1507
1183335,2021-10-23,1423
1187347,2021-10-24,1190
1191359,2021-10-25,1266
1195371,2021-10-26,1950
1199383,2021-10-27,2107
1203395,2021-10-28,2124
1207407,2021-10-29,2103
1211419,2021-10-30,2061
1215431,2021-10-31,1686
1219443,2021-11-01,1588
1223455,2021-11-02,2666
1227467,2021-11-03,2480
1231479,2021-11-04,2344
1235491,2021-11-05,2248
1239503,2021-11-06,2223
1243515,2021-11-07,1759
1247527,2021-11-08,1713
1251539,2021-11-09,2424
1255551,2021-11-10,2520
1259563,2021-11-11,2368
1263575,2021-11-12,2323
1267587,2021-11-13,2418
1271599,2021-11-14,2006
1275611,2021-11-15,2125
1279623,2021-11-16,3184
1283635,2021-11-17,3290
1287647,2021-11-18,3034
1291659,2021-11-19,3212
1295671,2021-11-20,3114
1299683,2021-11-21,2827
1303695,2021-11-22,2698
1307707,2021-11-23,4115
1311719,2021-11-24,3937
1315731,2021-11-25,3899
1319743,2021-11-26,4067
1323755,2021-11-27,3928
1327767,2021-11-28,3304
1331779,2021-11-29,3030
1335791,2021-11-30,5120
1339803,2021-12-01,5262
1343815,2021-12-02,4943
1347827,2021-12-03,5352
1351839,2021-12-04,5127
1355851,2021-12-05,4324
1359863,2021-12-06,4952
1363875,2021-12-07,7174
1367887,2021-12-08,7100
1371899,2021-12-09,7022
1375911,2021-12-10,6977
1379923,2021-12-11,6688
1383935,2021-12-12,5817
1387947,2021-12-13,5564
1391959,2021-12-14,7843
1395971,2021-12-15,7622
1399983,2021-12-16,7434
1403995,2021-12-17,7313
1408007,2021-12-18,6234
1412019,2021-12-19,5316
1416031,2021-12-20,5201
1420043,2021-12-21,7450
1424055,2021-12-22,6913
1428067,2021-12-23,6231
1432079,2021-12-24,5836
1436091,2021-12-25,5418
1440103,2021-12-26,4207
1444115,2021-12-27,3862
1448127,2021-12-28,5406
1452139,2021-12-29,5029
1456151,2021-12-30,4871
1460163,2021-12-31,4415
367,2022-01-01,3830
4379,2022-01-02,3124
8391,2022-01-03,3019
12403,2022-01-04,4443
16415,2022-01-05,4123
20427,2022-01-06,3716
24439,2022-01-07,3507
28451,2022-01-08,3376
32463,2022-01-09,2999
36475,2022-01-10,3093
40487,2022-01-11,4385
44499,2022-01-12,4162
48511,2022-01-13,4536
52523,2022-01-14,4418
56535,2022-01-15,4190
60547,2022-01-16,3858
64559,2022-01-17,4070
68571,2022-01-18,5800
72583,2022-01-19,6601
76595,2022-01-20,6766
80607,2022-01-21,7005
84619,2022-01-22,7628
88631,2022-01-23,7511
92643,2022-01-24,8566
96655,2022-01-25,13004
100667,2022-01-26,14514
104679,2022-01-27,16085
108691,2022-01-28,17540
112703,2022-01-29,17515
116715,2022-01-30,17072
120727,2022-01-31,18333
124739,2022-02-01,20268
128751,2022-02-02,22904
132763,2022-02-03,27442
136775,2022-02-04,36362
140787,2022-02-05,38670
144799,2022-02-06,35275
148811,2022-02-07,36718
152823,2022-02-08,49558
156836,2022-02-09,54122
160848,2022-02-10,53926
164860,2022-02-11,54918
168872,2022-02-12,56425
172884,2022-02-13,54616
176896,2022-02-14,57175
180908,2022-02-15,90430
184920,2022-02-16,93127
188932,2022-02-17,109828
192944,2022-02-18,102203
196956,2022-02-19,104828
200968,2022-02-20,95347
204980,2022-02-21,99550
208992,2022-02-22,171448
213004,2022-02-23,170006
217016,2022-02-24,165889
221028,2022-02-25,166206
225040,2022-02-26,163558
229052,2022-02-27,139615
233064,2022-02-28,138993
237076,2022-03-01,219237
241088,2022-03-02,198802
245100,2022-03-03,266838
249112,2022-03-04,254326
253124,2022-03-05,243612
257136,2022-03-06,210713
261148,2022-03-07,202714
265160,2022-03-08,342427
269172,2022-03-09,327532
273184,2022-03-10,282976
277196,2022-03-11,383651
281208,2022-03-12,350176
285220,2022-03-13,309769
289232,2022-03-14,362328
293244,2022-03-15,400725
297256,2022-03-16,621317
301268,2022-03-17,407017
305280,2022-03-18,381329
309292,2022-03-19,334708
313304,2022-03-20,209169
317316,2022-03-21,353725
321328,2022-03-22,490707
325340,2022-03-23,395589
329352,2022-03-24,339396
333364,2022-03-25,335479
337376,2022-03-26,318130
341388,2022-03-27,187213
345400,2022-03-28,347374
349412,2022-03-29,424528
353424,2022-03-30,320675
357436,2022-03-31,280187
361448,2022-04-01,264097
365460,2022-04-02,234301
369472,2022-04-03,127190
373484,2022-04-04,265995
377496,2022-04-05,286243
381508,2022-04-06,224761
385520,2022-04-07,205289
389532,2022-04-08,185495
393544,2022-04-09,164481
397556,2022-04-10,90928
401568,2022-04-11,210676
405580,2022-04-12,195370
409592,2022-04-13,0
413604,2022-04-14,274225
417616,2022-04-15,107882
421628,2022-04-16,93001
425640,2022-04-17,47743
429652,2022-04-18,118445
433664,2022-04-19,111280
437676,2022-04-20,90825
441688,2022-04-21,81010
445700,2022-04-22,75414
449712,2022-04-23,64725
453724,2022-04-24,34370
457736,2022-04-25,80301
461748,2022-04-26,76761
465760,2022-04-27,0
469772,2022-04-28,107990
473784,2022-04-29,43262
477796,2022-04-30,37771
481808,2022-05-01,20084
485820,2022-05-02,51020
489832,2022-05-03,49038
493844,2022-05-04,42277
497856,2022-05-05,26714
501868,2022-05-06,39552
505880,2022-05-07,40064
509892,2022-05-08,20601
513904,2022-05-09,49896
517916,2022-05-10,43899
521928,2022-05-11,35883
525940,2022-05-12,32409
529952,2022-05-13,29541
533964,2022-05-14,25434
537977,2022-05-15,13296
541989,2022-05-16,35072
546001,2022-05-17,31315
550013,2022-05-18,28105
554025,2022-05-19,25108
558037,2022-05-20,23442
562049,2022-05-21,19298
566061,2022-05-22,79023
570073,2022-05-23,0
574085,2022-05-24,23938
578097,2022-05-25,18797
582109,2022-05-26,16567
586121,2022-05-27,14382
590133,2022-05-28,12654
594145,2022-05-29,6139
598157,2022-05-30,17176
602169,2022-05-31,15777
606181,2022-06-01,9898
610193,2022-06-02,12522
614205,2022-06-03,12016
618217,2022-06-04,9835
622229,2022-06-05,5022
626241,2022-06-06,6172
630253,2022-06-07,13320
634265,2022-06-08,12146
638277,2022-06-09,9304
642289,2022-06-10,8428
646301,2022-06-11,7382
650313,2022-06-12,3828
654325,2022-06-13,9768
658337,2022-06-14,9423
662349,2022-06-15,7978
666361,2022-06-16,7186
670373,2022-06-17,6838
674385,2022-06-18,6071
678397,2022-06-19,3538
682409,2022-06-20,9283
686421,2022-06-21,8968
6904331,2022-06-22,7442
694445,2022-06-23,7210
698457,2022-06-24,6780
702469,2022-06-25,6246
706481,2022-06-26,3429
710493,2022-06-27,9871
714505,2022-06-28,10437
718517,2022-06-29,9585
722529,2022-06-30,9516
726541,2022-07-01,10695
730553,2022-07-02,10059
734565,2022-07-03,6253
738577,2022-07-04,18133
742589,2022-07-05,19362
746601,2022-07-06,18503
750613,2022-07-07,19310
754625,2022-07-08,20263
758637,2022-07-09,20410
762649,2022-07-10,12693
766661,2022-07-11,37323
770673,2022-07-12,40248
774685,2022-07-13,39169
778697,2022-07-14,38864
782709,2022-07-15,41273
786721,2022-07-16,40342
790733,2022-07-17,26299
794745,2022-07-18,73537
798757,2022-07-19,76378
802769,2022-07-20,71109
806781,2022-07-21,68579
810793,2022-07-22,0
814805,2022-07-23,0
818817,2022-07-24,0
822829,2022-07-25,0
826841,2022-07-26,0
830853,2022-07-27,0
834865,2022-07-28,0
838877,2022-07-29,0
842889,2022-07-30,0
846901,2022-07-31,0
